@relation sentimentos

@attribute text string
@attribute feeling {Negativo,Neutro,Positivo}

@data
'E decidiste dar uso ao photoshop também :) https://t.co/55uHmdoC44',Positivo
'@saviomy @OGloboPolitica @joaoamoedonovo chora mais vai, tem 100 seguidores e quer chamar alguém de bot, respeita aqui é 2009 :)',Positivo
'O povo defecando pela boca no ônibus, dizendo que com a vitória de Bolsonaro, vamos poder comprar armas até em mercados. O retardo mental de uns brasileiros que causam essas informações fakes que abalam parte do povo. Cada coisa que leio ouço, pqp! Mesmo assim vai dar B17! :)',Positivo
'a maioria das pessoas que apoiam o Bozo chegam no tt ou no insta e falam  vc q é contra Bolsonaro pare de passar vergonha pf  vergonha é vc que apoia um tipo de pessoas dessa, clbc vc pf. E se tiver incomodado acho que é bem simples vc dxr de seguir no botão no meu perfil :))',Positivo
'@SupperVinny @folha Hahahaha faz isso desde sempre. Pode olhar cá, vai achar vários :) @Desesquerdizada',Positivo
'esses tempos o filho ENGENHEIRO ficou desempregado e ela jogou na cara da minha mae que é PROFESSORA o quanto era dificil o desemprego. o meu pai é autonomo e ta sem trabalhar com registro desde 2013 :)',Positivo
'@serathiuk soa brega, mas é justamente com a morte da esperança que eles contam. mais pra frente te perturbo mais sobre escolher no 2o turno :D',Positivo
'De ressaca indo p estágio atrasada e com prova de epidemio às 14h :) congratulations Amanda',Positivo
'Como foi o melhor sonho que você já teve? — foi c ziam :) https://t.co/zL7T142i8Q',Positivo
'@mfaplayy kkkk e foda! Sempre gosto de ver a opinião dos dois lados, acho interessante as diferentes visões e acabo aprendendo uma coisa aqui outra ali. Estou decidindo em quem votar ainda :D',Positivo
'@naocainanet @Estadao @EstadaoPolitica https://t.co/5zDFaxEfhF A cara de    doente    dele nao chega aos pés do plano do Haddad .. Bom , assista :-)',Positivo
'@mariocaraujo Eu não tenho mais esperança não. E valeu. :)',Positivo
'Este fim de semana não foi fácil mas hoje conto voltar a streamar. Espero por vocês logo as 9:30 :) https://t.co/JIcavZ6Ma1',Positivo
'Moro, agora é com vc! :) https://t.co/DAd4VWAGQR',Positivo
'@R_Dias11 Aos 7/8 anos aprendes em Portugal o sistema reprodutor e como se reproduz :)) n literal, mas ilucidativo',Positivo
'@MarmotaDeCampie O s-o testez pe mama cat de tech savy e :)',Positivo
'Eu faço x e as pessoas não ouvem nada porque ninguém quer saber de mim :) https://t.co/3OI6IeQCY1',Positivo
'tive que acordar com a minha mae dizendo que eu nao sou sozinha no mundo e preciso  aceitar as opiniões , e meu professor dizendo que eu vou repetir de ano porque perdi atividade dele :) tomara que eu exploda',Positivo
'@orespeitadorJPP @MindoSCP não percebi um caralho :)',Positivo
'@DiegoSpier Roubou mas ajudou, né? :)',Positivo
'bom dia geente :)',Positivo
'@barbara_tafinha @victorxis Bom, que bom que finalmente resolvemos essa questão :P',Positivo
'@christopher78 @LuizVinicius73 @zofepod MELHOR VIDEO! hahaha, mas é  REAL LIFE  sim. vai solto e diz o que achou :D',Positivo
'Se não fosse o Nordeste, o Bonoro nesse exato momento estava preparando a sua posse no dia 1° de janeiro de 2019. Abraços :) Viva os nordestinos sensatos 👑',Positivo
'@brunosfair bom diaaaa, cê tá bem? :)',Positivo
'Muito impressionada e feliz com a nota de Macs :)))',Positivo
'@Edinho_Neves Edinho, compreendo a intenção, meu mano, mas passo. Os valores do teu candidato e as atitudes dele não comunicam comigo, brother. Manda ver, vota nele lá e boa sorte. :)',Positivo
'Matrícula pagada :P A entregarla',Positivo
'@Kiki_Tudor_run Olá jeitosa :)',Positivo
'46% da população é preconceituosa ou foi ludibriada. obrigado :)',Positivo
'mano, to de bobeira até agr kkkkkkkkkkk tem gente me vigiando, querendo saber tudo que falo kkkkkkkkkkkkkkkkkkk pode printar, fazer o q quiser, eu sempre viro o jogo :)',Positivo
'@SupperVinny @folha Exatamente isso, meu anjo :)',Positivo
'Tenho sangrado demais Tenho chorado pra cachorro Ano passado eu morri, Mas esse ano eu nao morro.. (Mestre Belchior) :)',Positivo
'@Mr_Max_Moon Fico feliz por ter ajudado :)',Positivo
'@Ttainara_carval @MCMagnus_ @folha @joaoamoedonovo @partidonovo30 Eu não vou votar em nenhum dos dois :)',Positivo
'@dii_lua Eu levo a piada de uva passa :)',Positivo
'Porque que és tão coninhas? — Pay hate with love :)) falem praí https://t.co/wpRjb9I6G8',Positivo
'@ErycaSouza7 O meu tb! :) Parabéns SRN',Positivo
'Segunda semana se iniciando e eu tenho a leve certeza de que chegarei provavelmente atrasada. :)',Positivo
'Olha hoje supostamente saí a nova temp de the walking dead :)',Positivo
'@BonneauLuise segunda tmb :)',Positivo
'@koreanthingy Visual &amp; center :)',Positivo
'@tats_bueno Vai ficar tudo bem :)',Positivo
'@serathiuk entendo seu ponto. só discordo que não tem mal menor, mesmo com todo histórico do PT. mas não vou ficar te perturbando com isso :) boa semana aí pra ti',Positivo
'Bom Dia Queridos Clientes, passando para lembrar que estamos á disposição! :D',Positivo
'@StylinsonSource Além do mais, isso acontece bem no dia que o harry resolve ver storie larry :)) assim nao da viu https://t.co/l9jwiCgjlJ',Positivo
'mas quem ta matando a oposição sao vcs :) https://t.co/srIBLTjLSd',Positivo
'Algum dia eu vou rir do que me fez chorar. :( :)',Positivo
'@SupperVinny @folha Hahahahahaha agora isso incomoda a esquerda, né? Fazendo jus ao discurso hipócrita de sempre! :)',Positivo
'@mendeSanto Haha bora! só escolher o país :p',Positivo
'@melgamike @tchapatata @PandacomRaiva @IkerCasillas @voluptama @Ohnoffris não estou a desvalorizar nada, muito pelo contrário, custa-me sempre perder, mas o jogo de ontem serviu para confirmar a vossa obsessão com o FCP, a festa no fim, a continuação da festa durante o dia de hoje.. vocês transformaram se naquilo que tanto criticavam em nós. :-)',Positivo
'eu lidando com o meu stress e vontade de socar todo mundo :) https://t.co/UqMeWrujY6',Positivo
'Ainda bem que não devo nada pra ninguém :)',Positivo
'@Max_Kailer Puuhh... 1. Dragoran 2. Maxax 3. Monagoras 4. Shadrago 5. Garados :P',Positivo
'Dia de #Faceweek* :) https://t.co/IXgQFpESoa',Positivo
'@StabMeGintoki bem preciso :)',Positivo
'@maeqpariu Estávamos falando de outra publicação e não dessa. E convenhamos quem reelege um governo que fudeu com o pai tem problema mental mesmo :D',Positivo
'É assim que se faz :-) https://t.co/0DPan22ExC',Positivo
'Uau que linda :) — Nem precisas de dizer 😊😘 https://t.co/knUYAxpMFw',Positivo
'Já está na loja... :) Móvel de apoio / consola nórdica, em pau santo, com 2 portas de correr e prateleiras no interior ORIGEM: Dinamarca, anos 60 ESTADO: Peça restaurada DIMENSÕES (cm): Comprimento: 87 Profundidade: 42 Altura: 77',Positivo
'Só o Nordestino sabe o que sofre em seu estado que no geral são atrasados em relação ao eixo do sul. Só isso mesmo para esse desabafo matutino :D',Positivo
'Que manhã bonita :)',Positivo
'@KristoffersonUy Porque man hahahahaha :p',Positivo
'Estou aqui no banco a viver a vida adulta e tp está cá um bebe mt fofo apetece-me rapta-lo :)',Positivo
